"","genome_ID","new","p4.cluster","Otu"
"30","p1.C5","121.p1.C5.fa",1," 4"
"80","p1.H8","078.p1.H8.fa",1," 5"
"126","p11.F9","228.p11.F9.fa",1," 5"
"127","p11.G1","286.p11.G1.fa",1," 3"
"130","p11.G3","343.p11.G3.fa",1," 5"
"132","p11.G5","082.p11.G5.fa",1," 3"
"136","p11.H1","361.p11.H1.fa",1," 3"
"140","p11.H5","109.p11.H5.fa",1," 3"
"224","p13.B4","027.p13.B4.fa",1," 3"
"225","p13.B5","014.p13.B5.fa",1," 3"
"245","p13.D5","227.p13.D5.fa",1," 5"
"306","p2.C11","099.p2.C11.fa",1," 3"
"309","p2.C4","023.p2.C4.fa",1," 4"
"314","p2.D10","001.p2.D10.fa",1," 2"
"340","p2.G5","029.p2.G5.fa",1," 3"
"341","p2.G5","055.p2.G5.fa",1," 3"
"342","p2.G6","077.p2.G6.fa",1," 3"
"345","p2.H1","033.p2.H1.fa",1," 3"
"348","p2.H6","076.p2.H6.fa",1," 3"
"569","p23.A4","061.p23.A4.fa",1," 3"
"599","p23.E5","052.p23.E5.fa",1," 3"
"605","p23.F4","016.p23.F4.fa",1," 3"
"611","p23.G3","087.p23.G3.fa",1," 5"
"614","p23.G7","009.p23.G7.fa",1," 5"
"618","p23.H3","001.p23.H3.fa",1," 5"
"621","p23.H7","001.p23.H7.fa",1," 5"
"813","p26.C10","041.p26.C10.fa",1," 3"
"819","p26.C9","109.p26.C9.fa",1," 3"
"878","p27.C5","088.p27.C5.fa",1," 5"
"934","p3.D5","078.p3.D5.fa",1," 4"
"1018","p4.G1","030.p4.G1.fa",1," 3"
"1022","p4.H1","062.p4.H1.fa",1," 3"
"1024","p4.H5","087.p4.H5.fa",1," 3"
"1034","p5.A5","050.p5.A5.fa",1," 3"
"1054","p5.C4","116.p5.C4.fa",1," 4"
"1165","p6.G1","401.p6.G1.fa",1," 3"
"1166","p6.G2","014.p6.G2.fa",1," 3"
"1167","p6.G3","111.p6.G3.fa",1," 4"
"1235","p7.F2","244.p7.F2.fa",1," 2"
"1264","p8.A2","331.p8.A2.fa",1," 9"
"1284","p8.D10","276.p8.D10.fa",1," 2"
"1308","p8.G1","380.p8.G1.fa",1," 3"
"1310","p8.G4","288.p8.G4.fa",1," 3"
"1311","p8.G5","316.p8.G5.fa",1," 3"
"1314","p8.H1","425.p8.H1.fa",1," 3"
"1315","p8.H2","762.p8.H2.fa",1," 3"
"1317","p8.H5","152.p8.H5.fa",1," 3"
"1318","p8.H6","248.p8.H6.fa",1," 3"
"1359","p9.D4","576.p9.D4.fa",1," 4"
"1398","p9.H10","229.p9.H10.fa",1," 4"
