"","genome_ID","new","p4.cluster","Otu"
"1","p1.A10","080.p1.A10.fa",1," 1"
"2","p1.A11","098.p1.A11.fa",1," 1"
"3","p1.A12","017.p1.A12.fa",1," 1"
"4","p1.A2","004.p1.A2.fa",1," 1"
"5","p1.A3","070.p1.A3.fa",1," 1"
"6","p1.A4","058.p1.A4.fa",1," 1"
"7","p1.A5","037.p1.A5.fa",1," 1"
"8","p1.A7","015.p1.A7.fa",1," 1"
"9","p1.A8","005.p1.A8.fa",1," 1"
"10","p1.A9","004.p1.A9.fa",1," 1"
"11","p1.B1","052.p1.B1.fa",1," 1"
"12","p1.B10","036.p1.B10.fa",1," 1"
"13","p1.B11","031.p1.B11.fa",1," 1"
"14","p1.B12","031.p1.B12.fa",1," 1"
"15","p1.B2","001.p1.B2.fa",1," 1"
"16","p1.B3","021.p1.B3.fa",1," 1"
"17","p1.B4","006.p1.B4.fa",1," 1"
"18","p1.B5","040.p1.B5.fa",1," 1"
"19","p1.B6","021.p1.B6.fa",1," 1"
"20","p1.B7","007.p1.B7.fa",1," 1"
"21","p1.B8","005.p1.B8.fa",1," 1"
"22","p1.B9","004.p1.B9.fa",1," 1"
"23","p1.C1","004.p1.C1.fa",1," 1"
"24","p1.C10","035.p1.C10.fa",1," 1"
"25","p1.C11","021.p1.C11.fa",1," 1"
"26","p1.C12","029.p1.C12.fa",1," 1"
"27","p1.C2","037.p1.C2.fa",1," 1"
"28","p1.C3","022.p1.C3.fa",1," 1"
"29","p1.C4","001.p1.C4.fa",1," 1"
"31","p1.C6","026.p1.C6.fa",1," 1"
"32","p1.C7","005.p1.C7.fa",1," 1"
"33","p1.C8","079.p1.C8.fa",1," 1"
"34","p1.C9","037.p1.C9.fa",1," 1"
"35","p1.D1","018.p1.D1.fa",1," 1"
"36","p1.D10","041.p1.D10.fa",1," 1"
"37","p1.D11","037.p1.D11.fa",1," 1"
"38","p1.D12","012.p1.D12.fa",1," 1"
"39","p1.D2","039.p1.D2.fa",1," 1"
"40","p1.D3","024.p1.D3.fa",1," 1"
"41","p1.D4","001.p1.D4.fa",1," 1"
"42","p1.D5","009.p1.D5.fa",1," 1"
"43","p1.D6","039.p1.D6.fa",1," 1"
"44","p1.D7","060.p1.D7.fa",1," 1"
"45","p1.D8","001.p1.D8.fa",1," 1"
"46","p1.D9","010.p1.D9.fa",1," 1"
"47","p1.E1","025.p1.E1.fa",1," 1"
"48","p1.E3","016.p1.E3.fa",1," 1"
"49","p1.E4","023.p1.E4.fa",1," 1"
"50","p1.E5","021.p1.E5.fa",1," 1"
"51","p1.E7","001.p1.E7.fa",1," 1"
"52","p1.E8","022.p1.E8.fa",1," 1"
"53","p1.F10","094.p1.F10.fa",1," 1"
"54","p1.F12","025.p1.F12.fa",1," 1"
"55","p1.F3","029.p1.F3.fa",1," 1"
"56","p1.F4","051.p1.F4.fa",1," 1"
"57","p1.F5","053.p1.F5.fa",1," 1"
"58","p1.F7","015.p1.F7.fa",1," 1"
"59","p1.F8","006.p1.F8.fa",1," 1"
"60","p1.F9","001.p1.F9.fa",1," 1"
"61","p1.G1","041.p1.G1.fa",1," 1"
"62","p1.G11","041.p1.G11.fa",1," 1"
"63","p1.G2","152.p1.G2.fa",1," 1"
"64","p1.G3","002.p1.G3.fa",1," 1"
"65","p1.G4","001.p1.G4.fa",1," 1"
"66","p1.G5","033.p1.G5.fa",1," 1"
