Sample,OD600,Time_s
P21.F9_noMC,0.1113,0
P21.F9_noMC,0.108,927.268
P21.F9_noMC,0.1044,1859.687
P21.F9_noMC,0.111,2792.16
P21.F9_noMC,0.1166,3724.632
P21.F9_noMC,0.1208,4657.102
P21.F9_noMC,0.1258,5589.631
P21.F9_noMC,0.1378,6522.193
P21.F9_noMC,0.1553,7454.487
P21.F9_noMC,0.1762,8386.937
P21.F9_noMC,0.1984,9319.439
P21.F9_noMC,0.2238,10251.889
P21.F9_noMC,0.2499,11184.439
P21.F9_noMC,0.2836,12116.883
P21.F9_noMC,0.3052,13049.281
P21.F9_noMC,0.327,13981.655
P21.F9_noMC,0.3389,14914.142
P21.F9_noMC,0.3596,15846.702
P21.F9_noMC,0.3807,16779.28
P21.F9_noMC,0.4012,17711.855
P21.F9_noMC,0.4266,18644.329
P21.F9_noMC,0.448,19576.844
P21.F9_noMC,0.4669,20509.373
P21.F9_noMC,0.4875,21441.922
P21.F9_noMC,0.5037,22374.504
P21.F9_noMC,0.5125,23307.015
P21.F9_noMC,0.5271,24239.47
P21.F9_noMC,0.5364,25171.902
P21.F9_noMC,0.5492,26104.468
P21.F9_noMC,0.5624,27037.057
P21.F9_noMC,0.5878,27969.65
P21.F9_noMC,0.6008,28902.088
P21.F9_noMC,0.6069,29834.682
P21.F9_noMC,0.6435,30767.242
P21.F9_noMC,0.6472,31699.776
P21.F9_noMC,0.6685,32632.176
P21.F9_noMC,0.6642,33564.472
P21.F9_noMC,0.6659,34496.941
P21.F9_noMC,0.664,35429.418
P21.F9_noMC,0.6714,36361.963
P21.F9_noMC,0.6632,37294.415
P21.F9_noMC,0.6678,38226.892
P21.F9_noMC,0.6479,39159.364
P21.F9_noMC,0.6587,40091.808
P21.F9_noMC,0.6642,41024.249
P21.F9_noMC,0.6622,41956.683
P21.F9_noMC,0.6715,42889.133
P21.F9_noMC,0.699,43821.583
P21.F9_noMC,0.7096,44754.073
P21.F9_noMC,0.7155,45686.536
P21.F9_noMC,0.7267,46618.992
P21.F9_noMC,0.7316,47551.547
P21.F9_noMC,0.7323,48483.921
