Time [s]	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.0542	0.0557	0.0548	0.0547	0.066	0.0789	0.055	0.0548	0.0556	0.056	0.056	0.0597	0.055	0.0546	0.0558	0.0556	0.0553	0.0481	0.0545	0.0554	0.0737	0.1371	0.0546	0.0541	0.0888	0.0543	0.0549	0.048	0.0649	0.0479	0.0547	0.0556	0.0769	0.0756	0.0734	0.0543	0.0543	0.0546	0.054	0.0548	0.079	0.0916	0.0544	0.0544	0.0543	0.0545	0.0548	0.0544	0.0745	0.1394	0.0541	0.0541	0.0541	0.0767	0.0551	0.0548	0.0557	0.0545	0.0546	0.0724	0.0541	0.0871	0.0544	0.0546	0.0547	0.0869	0.0542	0.0547	0.0757	0.055	0.0547	0.0546	0.0549	0.074	0.0542	0.0558	0.0714	0.0543	0.0542	0.0559	0.0554	0.0549	0.0557	0.0547	0.0546	0.0548	0.0554	0.0557	0.1382	0.0843	0.0542	0.0542	0.0561	0.0548	0.0546	0.0546
927.47	0.0544	0.0557	0.0548	0.0548	0.0676	0.0797	0.0552	0.0547	0.0558	0.0558	0.0559	0.0599	0.0551	0.0548	0.0558	0.0556	0.0554	0.048	0.0546	0.0554	0.0754	0.1406	0.0546	0.0542	0.0898	0.0544	0.0548	0.0481	0.065	0.0478	0.0548	0.0556	0.0773	0.0755	0.0724	0.0544	0.0543	0.0548	0.0541	0.055	0.0796	0.0925	0.0544	0.0546	0.0543	0.0544	0.0549	0.0545	0.0749	0.1451	0.054	0.0541	0.0542	0.0774	0.0549	0.055	0.0557	0.0546	0.0546	0.0724	0.0543	0.0877	0.0545	0.0547	0.0547	0.0877	0.0543	0.0549	0.0765	0.055	0.0546	0.0546	0.055	0.0742	0.0543	0.056	0.0721	0.0543	0.0544	0.056	0.0555	0.055	0.0557	0.0546	0.0546	0.0547	0.0555	0.0558	0.1426	0.0842	0.0543	0.0543	0.0562	0.0548	0.0546	0.0546
1859.84	0.0543	0.0556	0.0547	0.0547	0.0682	0.0811	0.055	0.0548	0.0557	0.0558	0.0559	0.06	0.0551	0.0546	0.0559	0.0555	0.0553	0.0501	0.0546	0.0554	0.0752	0.1475	0.0546	0.0541	0.0892	0.0543	0.0547	0.048	0.0649	0.0477	0.0546	0.0556	0.0747	0.0755	0.0724	0.0545	0.0543	0.0547	0.0541	0.0549	0.08	0.0932	0.0544	0.0544	0.0544	0.0545	0.0547	0.0544	0.0756	0.1496	0.0541	0.0542	0.0542	0.0776	0.0551	0.0549	0.0558	0.0545	0.0545	0.0723	0.0542	0.087	0.0544	0.0545	0.0546	0.0876	0.0543	0.0549	0.0763	0.0549	0.0547	0.0547	0.0549	0.0742	0.0543	0.0557	0.0721	0.0544	0.0542	0.0558	0.0553	0.055	0.0557	0.0546	0.0547	0.0548	0.0554	0.0558	0.1462	0.0845	0.0543	0.0542	0.0562	0.0549	0.0546	0.0546
2792.282	0.0542	0.0556	0.0549	0.0546	0.0684	0.0813	0.055	0.0549	0.0558	0.0558	0.056	0.0599	0.0552	0.0546	0.0558	0.0555	0.0553	0.0487	0.0546	0.0553	0.0762	0.1563	0.0546	0.0541	0.089	0.0543	0.0549	0.0479	0.0649	0.0475	0.0547	0.0556	0.075	0.0759	0.0728	0.0545	0.0543	0.0545	0.0541	0.055	0.0803	0.0937	0.0544	0.0545	0.0543	0.0545	0.0549	0.0544	0.076	0.1541	0.054	0.0542	0.0541	0.0771	0.055	0.0548	0.0557	0.0546	0.0547	0.0721	0.0541	0.0867	0.0544	0.0545	0.0546	0.0875	0.0544	0.0549	0.0761	0.0549	0.0546	0.0547	0.0548	0.0743	0.0543	0.0559	0.0727	0.0545	0.0542	0.056	0.0554	0.0551	0.0557	0.0548	0.0545	0.0546	0.0555	0.0557	0.1496	0.0845	0.0544	0.0543	0.0562	0.0548	0.0545	0.0547
3724.732	0.0543	0.0557	0.0548	0.0546	0.0685	0.0815	0.055	0.0549	0.0559	0.0558	0.056	0.0599	0.0551	0.0546	0.0558	0.0556	0.0552	0.0481	0.0546	0.0555	0.0756	0.1633	0.0546	0.054	0.0887	0.0543	0.0548	0.048	0.065	0.0475	0.0546	0.0557	0.075	0.076	0.0732	0.0544	0.0544	0.0546	0.0541	0.0549	0.0799	0.0936	0.0543	0.0544	0.0544	0.0544	0.0548	0.0543	0.0764	0.1576	0.0541	0.0542	0.0542	0.0767	0.055	0.0549	0.0557	0.0545	0.0546	0.0724	0.0542	0.0875	0.0544	0.0544	0.0547	0.0881	0.0543	0.0547	0.0767	0.055	0.0546	0.0547	0.0548	0.0742	0.0543	0.0557	0.0737	0.0543	0.0543	0.0559	0.0554	0.0551	0.0557	0.0546	0.0545	0.0547	0.0555	0.0557	0.1576	0.0855	0.0543	0.0543	0.0562	0.0547	0.0545	0.0548
4657.178	0.0543	0.0557	0.0547	0.0547	0.0681	0.081	0.0552	0.0547	0.0559	0.0557	0.0559	0.0599	0.0549	0.0547	0.0559	0.0555	0.0553	0.0485	0.0546	0.0554	0.0763	0.1705	0.0546	0.054	0.0884	0.0543	0.0548	0.048	0.065	0.0476	0.0546	0.0555	0.0752	0.0764	0.0736	0.0544	0.0543	0.0546	0.0542	0.0549	0.0797	0.0933	0.0545	0.0543	0.0543	0.0545	0.0548	0.0543	0.0763	0.1627	0.054	0.0541	0.0543	0.0772	0.055	0.0548	0.0558	0.0545	0.0547	0.0728	0.0542	0.0878	0.0544	0.0546	0.0546	0.0881	0.0543	0.055	0.0768	0.0551	0.0547	0.0546	0.0549	0.0743	0.0542	0.0558	0.0736	0.0544	0.0543	0.0558	0.0555	0.0551	0.0557	0.0546	0.0545	0.0548	0.0554	0.0557	0.1586	0.0863	0.0544	0.0543	0.0561	0.0548	0.0546	0.0547
5589.67	0.0542	0.0555	0.0547	0.0546	0.0685	0.0812	0.0551	0.0547	0.0556	0.0558	0.0559	0.0599	0.055	0.0547	0.0557	0.0553	0.0552	0.0479	0.0545	0.0553	0.0761	0.1759	0.0546	0.054	0.0878	0.0542	0.0547	0.0478	0.0647	0.0474	0.0546	0.0556	0.0747	0.0767	0.0741	0.0543	0.0541	0.0546	0.0542	0.0549	0.0795	0.0937	0.0542	0.0543	0.0543	0.0545	0.0547	0.0543	0.0764	0.1679	0.0541	0.054	0.054	0.0774	0.0549	0.0548	0.0556	0.0545	0.0546	0.0727	0.0541	0.0886	0.0543	0.0544	0.0544	0.0888	0.0542	0.0547	0.0774	0.0549	0.0546	0.0547	0.0547	0.0744	0.0541	0.0557	0.0739	0.0542	0.0542	0.0557	0.0553	0.0549	0.0555	0.0546	0.0546	0.0546	0.0553	0.0556	0.1635	0.086	0.0543	0.0542	0.056	0.0548	0.0546	0.0546
6522.051	0.0542	0.0557	0.0548	0.0546	0.0691	0.0818	0.0552	0.0549	0.0558	0.0559	0.0559	0.0599	0.0551	0.0547	0.0558	0.0555	0.0553	0.0478	0.0545	0.0554	0.0762	0.1824	0.0545	0.0541	0.0886	0.0544	0.0548	0.0481	0.0648	0.0474	0.0546	0.0556	0.075	0.0778	0.0748	0.0542	0.0543	0.0545	0.0541	0.055	0.0803	0.0941	0.0543	0.0545	0.0543	0.0545	0.0548	0.0543	0.0766	0.1744	0.0542	0.0543	0.0541	0.0772	0.055	0.0547	0.0556	0.0544	0.0547	0.0731	0.0542	0.0885	0.0545	0.0546	0.0546	0.089	0.0542	0.0547	0.0776	0.055	0.0547	0.0548	0.0547	0.0744	0.0545	0.0558	0.0749	0.0544	0.0542	0.0558	0.0552	0.0551	0.0556	0.0546	0.0546	0.0548	0.0555	0.0555	0.172	0.0864	0.0544	0.0541	0.056	0.0547	0.0545	0.0547
7454.517	0.0541	0.0556	0.0548	0.0546	0.0693	0.0818	0.0549	0.0548	0.0558	0.0557	0.0558	0.06	0.055	0.0547	0.0557	0.0554	0.0552	0.0478	0.0545	0.0553	0.0768	0.1859	0.0546	0.0539	0.0883	0.0542	0.0548	0.0479	0.0647	0.0475	0.0546	0.0554	0.0748	0.0777	0.0751	0.0543	0.0542	0.0546	0.0543	0.0548	0.0793	0.094	0.0543	0.0543	0.0542	0.0544	0.0546	0.0542	0.0768	0.1815	0.0541	0.0542	0.0542	0.0771	0.055	0.0547	0.0554	0.0545	0.0546	0.0731	0.0542	0.0879	0.0544	0.0545	0.0546	0.089	0.0542	0.0548	0.0776	0.0549	0.0545	0.0548	0.0548	0.0741	0.0543	0.0559	0.075	0.0542	0.0543	0.0559	0.0554	0.0549	0.0556	0.0547	0.0545	0.0547	0.0555	0.0556	0.1776	0.0865	0.0542	0.0542	0.0561	0.0548	0.0545	0.0546
8386.96	0.0543	0.0557	0.0547	0.0546	0.0693	0.0813	0.0551	0.0548	0.0558	0.0559	0.056	0.06	0.0553	0.0547	0.0558	0.0555	0.0554	0.0481	0.0546	0.0554	0.0769	0.1821	0.0547	0.0542	0.0882	0.0544	0.0549	0.0481	0.0649	0.0475	0.0547	0.0556	0.0749	0.0785	0.0759	0.0543	0.0543	0.0547	0.0541	0.055	0.0802	0.0942	0.0545	0.0545	0.0544	0.0545	0.0549	0.0545	0.0769	0.1845	0.054	0.0542	0.0543	0.078	0.055	0.0548	0.0557	0.0547	0.0546	0.0734	0.0543	0.0883	0.0544	0.0545	0.0546	0.0896	0.0544	0.0548	0.0783	0.0551	0.0548	0.0548	0.0548	0.0743	0.0542	0.0557	0.0755	0.0543	0.0543	0.056	0.0556	0.0551	0.0556	0.0547	0.0547	0.0549	0.0554	0.0558	0.1801	0.0863	0.0544	0.0542	0.0561	0.0547	0.0545	0.0548
