Well,Sample,OD600,Time (s)
A1,LB,0.0503,0
A1,LB,0.0503,913.444
A1,LB,0.0501,1826.772
A1,LB,0.0502,2740.112
A1,LB,0.0522,3653.458
A1,LB,0.0503,4566.749
A1,LB,0.0502,5480.064
A1,LB,0.0504,6393.365
A1,LB,0.0505,7306.725
A1,LB,0.0504,8220.029
A1,LB,0.0507,9133.368
A1,LB,0.0511,10046.679
A1,LB,0.0515,10960.013
A1,LB,0.0513,11873.355
A1,LB,0.0518,12786.673
A1,LB,0.052,13700.011
A1,LB,0.0514,14613.35
A1,LB,0.0516,15526.682
A1,LB,0.0513,16440.01
A1,LB,0.0512,17353.331
A1,LB,0.0515,18266.651
A1,LB,0.0512,19180.003
A1,LB,0.0511,20093.344
A1,LB,0.0511,21006.696
A1,LB,0.0516,21920.035
A1,LB,0.0518,22833.357
A1,LB,0.0507,23746.686
A1,LB,0.0509,24660.013
A1,LB,0.0507,25573.297
A1,LB,0.0506,26486.609
A1,LB,0.0506,27399.919
A1,LB,0.0507,28313.256
A1,LB,0.0509,29226.584
A1,LB,0.0505,30139.934
A1,LB,0.0503,31053.283
A1,LB,0.0503,31966.681
A1,LB,0.0501,32880.034
A1,LB,0.0499,33793.345
A1,LB,0.05,34706.688
A1,LB,0.0502,35620.004
A1,LB,0.0503,36533.348
A1,LB,0.0506,37446.667
A1,LB,0.0502,38359.961
A1,LB,0.0499,39273.298
A1,LB,0.0498,40186.619
A1,LB,0.0501,41099.964
A1,LB,0.0504,42013.302
A1,LB,0.0502,42926.666
A1,LB,0.0496,43839.971
A1,LB,0.0498,44753.313
A1,LB,0.05,45666.628
A1,LB,0.0498,46579.961
A1,LB,0.0498,47493.281
A1,LB,0.0502,48406.586
A1,LB,0.0503,49319.917
A1,LB,0.0494,50233.266
A1,LB,0.0494,51146.595
A1,LB,0.0496,52059.903
A1,LB,0.0494,52973.178
A1,LB,0.0492,53886.505
A1,LB,0.0489,54799.86
A1,LB,0.0487,55713.21
A1,LB,0.0481,56626.569
