Well	Sample	Hour	OD600
A2	ctrl	0	0
B2	p22.B2	0	0.1489
C2	p13.D10	0	0.0873
D2	p20.H5	0	0.119
E2	p21.F9	0	0.059
A2	ctrl	1	0
B2	p22.B2	1	0.1224
C2	p13.D10	1	0.0793
D2	p20.H5	1	0.0743
E2	p21.F9	1	0.0529
A2	ctrl	2	0.000200000000000006
B2	p22.B2	2	0.124
C2	p13.D10	2	0.0948
D2	p20.H5	2	0.1049
E2	p21.F9	2	0.0548
A2	ctrl	3	0.000499999999999994
B2	p22.B2	3	0.0603
C2	p13.D10	3	0.1236
D2	p20.H5	3	0.0993
E2	p21.F9	3	0.0503
A2	ctrl	4	0.000999999999999994
B2	p22.B2	4	0.036
C2	p13.D10	4	0.0727
D2	p20.H5	4	0.0399
E2	p21.F9	4	0.0307
A2	ctrl	5	0.0011
B2	p22.B2	5	0.045
C2	p13.D10	5	0.0438
D2	p20.H5	5	0.0221
E2	p21.F9	5	0.0329
A2	ctrl	6	0.0012
B2	p22.B2	6	0.0463
C2	p13.D10	6	0.0376
D2	p20.H5	6	0.0251
E2	p21.F9	6	0.0394
A2	ctrl	7	0.0011
B2	p22.B2	7	0.0645
C2	p13.D10	7	0.0357
D2	p20.H5	7	0.0274
E2	p21.F9	7	0.041
A2	ctrl	8	0.0011
B2	p22.B2	8	0.0572
C2	p13.D10	8	0.0338
D2	p20.H5	8	0.0332
E2	p21.F9	8	0.0434
A2	ctrl	9	0.0013
B2	p22.B2	9	0.052
C2	p13.D10	9	0.0327
D2	p20.H5	9	0.0382
E2	p21.F9	9	0.0463
A2	ctrl	10	0.0014
B2	p22.B2	10	0.0492
C2	p13.D10	10	0.0318
D2	p20.H5	10	0.039
E2	p21.F9	10	0.0463
