sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_RM_Type_IIG_6	RM	RM_Type_IIG	p6.H2|JMEOPFGH_01461	p6.H2|JMEOPFGH_01461	p6.H2|JMEOPFGH_01461	1	Type_IIG
UserReplicon_RM_Type_II_5	RM	RM_Type_II	p6.H2|JMEOPFGH_01599	p6.H2|JMEOPFGH_01601	p6.H2|JMEOPFGH_01599,p6.H2|JMEOPFGH_01601	2	Type_II_MTases,Type_II_REases
UserReplicon_Shedu_10	Shedu	Shedu	p6.H2|JMEOPFGH_04630	p6.H2|JMEOPFGH_04630	p6.H2|JMEOPFGH_04630	1	SduA
UserReplicon_Lamassu_4	Lamassu	Lamassu	p6.H2|JMEOPFGH_05447	p6.H2|JMEOPFGH_05448	p6.H2|JMEOPFGH_05447,p6.H2|JMEOPFGH_05448	2	LmuA,LmuB
UserReplicon_RM_Type_IV_7	RM	RM_Type_IV	p6.H2|JMEOPFGH_05803	p6.H2|JMEOPFGH_05803	p6.H2|JMEOPFGH_05803	1	Type_IV_REases
UserReplicon_RM_Type_IV_8	RM	RM_Type_IV	p6.H2|JMEOPFGH_06234	p6.H2|JMEOPFGH_06235	p6.H2|JMEOPFGH_06234,p6.H2|JMEOPFGH_06235	2	Type_IV_REases,Type_IV_REases
UserReplicon_Septu_9	Septu	Septu	p6.H2|JMEOPFGH_07919	p6.H2|JMEOPFGH_07920	p6.H2|JMEOPFGH_07919,p6.H2|JMEOPFGH_07920	2	PtuA,PtuB
UserReplicon_Gao_Upx_3	Gao_Upx	Gao_Upx	p6.H2|JMEOPFGH_08083	p6.H2|JMEOPFGH_08083	p6.H2|JMEOPFGH_08083	1	UpxA
UserReplicon_Gabija_2	Gabija	Gabija	p6.H2|JMEOPFGH_08084	p6.H2|JMEOPFGH_08085	p6.H2|JMEOPFGH_08084,p6.H2|JMEOPFGH_08085	2	GajB,GajA
UserReplicon_Wadjet_I_11	Wadjet	Wadjet_I	p6.H2|JMEOPFGH_08181	p6.H2|JMEOPFGH_08187	p6.H2|JMEOPFGH_08181,p6.H2|JMEOPFGH_08184,p6.H2|JMEOPFGH_08185,p6.H2|JMEOPFGH_08186,p6.H2|JMEOPFGH_08187	5	JetD_I,JetC_I,JetC_I,JetB_I,JetA_I
UserReplicon_CBASS_I_1	CBASS	CBASS_I	p6.H2|JMEOPFGH_09592	p6.H2|JMEOPFGH_09593	p6.H2|JMEOPFGH_09592,p6.H2|JMEOPFGH_09593	2	Effector_4TM_S_4TM,Cyclase_II
