"","sys_id","type","subtype","sys_beg","sys_end","protein_in_syst","genes_count","name_of_profiles_in_sys","bacterial_strain"
"1","UserReplicon_Thoeris2_2","Thoeris","Thoeris2","p1.A10|CFNOHGIE_02965","p1.A10|CFNOHGIE_02969","p1.A10|CFNOHGIE_02965,p1.A10|CFNOHGIE_02966,p1.A10|CFNOHGIE_02967,p1.A10|CFNOHGIE_02968,p1.A10|CFNOHGIE_02969","5","ThsB_Global,ThsB_Global,ThsB_Global,ThsB_Global,ThsA_new_grand","p1.A10"
"2","UserReplicon_Abi2_1","Abi2","Abi2","p1.A10|CFNOHGIE_05260","p1.A10|CFNOHGIE_05260","p1.A10|CFNOHGIE_05260","1","Abi_2","p1.A10"
"3","UserReplicon_Abi2_1","Abi2","Abi2","p1.A11|ODNPOIPB_01328","p1.A11|ODNPOIPB_01328","p1.A11|ODNPOIPB_01328","1","Abi_2","p1.A11"
"4","UserReplicon_Abi2_2","Abi2","Abi2","p1.A11|ODNPOIPB_02795","p1.A11|ODNPOIPB_02795","p1.A11|ODNPOIPB_02795","1","Abi_2","p1.A11"
"5","UserReplicon_CBASS_III_4","CBASS","CBASS_III","p1.A11|ODNPOIPB_03383","p1.A11|ODNPOIPB_03390","p1.A11|ODNPOIPB_03383,p1.A11|ODNPOIPB_03384,p1.A11|ODNPOIPB_03385,p1.A11|ODNPOIPB_03386,p1.A11|ODNPOIPB_03390","5","Cyclase_II,bacHORMA_1,TRIP13,Sensing_TPALS,Phospholipase","p1.A11"
"6","UserReplicon_RM_Type_IV_5","RM","RM_Type_IV","p1.A11|ODNPOIPB_04616","p1.A11|ODNPOIPB_04617","p1.A11|ODNPOIPB_04616,p1.A11|ODNPOIPB_04617","2","Type_IV_REases,Type_IV_REases","p1.A11"
"7","UserReplicon_Abi2_1","Abi2","Abi2","p1.A12|GELCLGHK_01479","p1.A12|GELCLGHK_01479","p1.A12|GELCLGHK_01479","1","Abi_2","p1.A12"
"8","UserReplicon_CBASS_III_3","CBASS","CBASS_III","p1.A12|GELCLGHK_03177","p1.A12|GELCLGHK_03184","p1.A12|GELCLGHK_03177,p1.A12|GELCLGHK_03181,p1.A12|GELCLGHK_03182,p1.A12|GELCLGHK_03183,p1.A12|GELCLGHK_03184","5","Phospholipase,Sensing_TPALS,TRIP13,bacHORMA_1,Cyclase_II","p1.A12"
"9","UserReplicon_RM_Type_IV_4","RM","RM_Type_IV","p1.A12|GELCLGHK_05254","p1.A12|GELCLGHK_05255","p1.A12|GELCLGHK_05254,p1.A12|GELCLGHK_05255","2","Type_IV_REases,Type_IV_REases","p1.A12"
"10","UserReplicon_Septu_4","Septu","Septu","p1.A2|PDKKMNCP_01329","p1.A2|PDKKMNCP_01330","p1.A2|PDKKMNCP_01329,p1.A2|PDKKMNCP_01330","2","PtuB,PtuA","p1.A2"
"11","UserReplicon_RM_Type_III_2","RM","RM_Type_III","p1.A2|PDKKMNCP_01582","p1.A2|PDKKMNCP_01583","p1.A2|PDKKMNCP_01582,p1.A2|PDKKMNCP_01583","2","Type_III_MTases,Type_III_REases","p1.A2"
"12","UserReplicon_Abi2_1","Abi2","Abi2","p1.A2|PDKKMNCP_04038","p1.A2|PDKKMNCP_04038","p1.A2|PDKKMNCP_04038","1","Abi_2","p1.A2"
"13","UserReplicon_RM_Type_IV_3","RM","RM_Type_IV","p1.A2|PDKKMNCP_05451","p1.A2|PDKKMNCP_05452","p1.A2|PDKKMNCP_05451,p1.A2|PDKKMNCP_05452","2","Type_IV_REases,Type_IV_REases","p1.A2"
"14","UserReplicon_Abi2_1","Abi2","Abi2","p1.A3|LCNGMAPA_02086","p1.A3|LCNGMAPA_02086","p1.A3|LCNGMAPA_02086","1","Abi_2","p1.A3"
"15","UserReplicon_PARIS_I_merge_3","PARIS","PARIS_I_merge","p1.A3|LCNGMAPA_04492","p1.A3|LCNGMAPA_04492","p1.A3|LCNGMAPA_04492","1","AAA_15_DUF4435","p1.A3"
"16","UserReplicon_Gao_Iet_2","Gao_Iet","Gao_Iet","p1.A3|LCNGMAPA_04854","p1.A3|LCNGMAPA_04855","p1.A3|LCNGMAPA_04854,p1.A3|LCNGMAPA_04855","2","IetA,IetS","p1.A3"
"17","UserReplicon_PARIS_I_merge_3","PARIS","PARIS_I_merge","p1.A4|CMDAIJPL_00554","p1.A4|CMDAIJPL_00554","p1.A4|CMDAIJPL_00554","1","AAA_15_DUF4435","p1.A4"
"18","UserReplicon_Abi2_1","Abi2","Abi2","p1.A4|CMDAIJPL_02868","p1.A4|CMDAIJPL_02868","p1.A4|CMDAIJPL_02868","1","Abi_2","p1.A4"
"19","UserReplicon_Gao_Iet_2","Gao_Iet","Gao_Iet","p1.A4|CMDAIJPL_05182","p1.A4|CMDAIJPL_05183","p1.A4|CMDAIJPL_05182,p1.A4|CMDAIJPL_05183","2","IetS,IetA","p1.A4"
"20","UserReplicon_Abi2_1","Abi2","Abi2","p1.A5|MKGBIHPJ_04379","p1.A5|MKGBIHPJ_04379","p1.A5|MKGBIHPJ_04379","1","Abi_2","p1.A5"
"21","UserReplicon_PARIS_I_merge_3","PARIS","PARIS_I_merge","p1.A7|CJJKNMBL_01165","p1.A7|CJJKNMBL_01165","p1.A7|CJJKNMBL_01165","1","AAA_15_DUF4435","p1.A7"
"22","UserReplicon_Gao_Iet_2","Gao_Iet","Gao_Iet","p1.A7|CJJKNMBL_02847","p1.A7|CJJKNMBL_02848","p1.A7|CJJKNMBL_02847,p1.A7|CJJKNMBL_02848","2","IetA,IetS","p1.A7"
"23","UserReplicon_Abi2_1","Abi2","Abi2","p1.A7|CJJKNMBL_05270","p1.A7|CJJKNMBL_05270","p1.A7|CJJKNMBL_05270","1","Abi_2","p1.A7"
"24","UserReplicon_RM_Type_IV_4","RM","RM_Type_IV","p1.A8|DMJKHGBF_03318","p1.A8|DMJKHGBF_03319","p1.A8|DMJKHGBF_03318,p1.A8|DMJKHGBF_03319","2","Type_IV_REases,Type_IV_REases","p1.A8"
"25","UserReplicon_Gabija_3","Gabija","Gabija","p1.A8|DMJKHGBF_04343","p1.A8|DMJKHGBF_04344","p1.A8|DMJKHGBF_04343,p1.A8|DMJKHGBF_04344","2","GajA,GajB","p1.A8"
