sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_Gabija_1	Gabija	Gabija	p21.B3|EPKHIOME_00229	p21.B3|EPKHIOME_00230	p21.B3|EPKHIOME_00229,p21.B3|EPKHIOME_00230	2	GajA,GajB
UserReplicon_Hachiman_2	Hachiman	Hachiman	p21.B3|EPKHIOME_00232	p21.B3|EPKHIOME_00233	p21.B3|EPKHIOME_00232,p21.B3|EPKHIOME_00233	2	HamB,HamA_2
UserReplicon_Retron_III_7	Retron	Retron_III	p21.B3|EPKHIOME_00235	p21.B3|EPKHIOME_00236	p21.B3|EPKHIOME_00235,p21.B3|EPKHIOME_00236	2	PRTase_WH,RT_Tot
UserReplicon_Rst_ATPase_8	Rst_ATPase	Rst_ATPase	p21.B3|EPKHIOME_00836	p21.B3|EPKHIOME_00836	p21.B3|EPKHIOME_00836	1	ATPase
UserReplicon_Hachiman_3	Hachiman	Hachiman	p21.B3|EPKHIOME_02073	p21.B3|EPKHIOME_02074	p21.B3|EPKHIOME_02073,p21.B3|EPKHIOME_02074	2	HamA_1,HamB
UserReplicon_Septu_9	Septu	Septu	p21.B3|EPKHIOME_02388	p21.B3|EPKHIOME_02389	p21.B3|EPKHIOME_02388,p21.B3|EPKHIOME_02389	2	PtuB,PtuA
UserReplicon_RM_Type_IV_5	RM	RM_Type_IV	p21.B3|EPKHIOME_02399	p21.B3|EPKHIOME_02399	p21.B3|EPKHIOME_02399	1	Type_IV_REases
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p21.B3|EPKHIOME_02796	p21.B3|EPKHIOME_02799	p21.B3|EPKHIOME_02796,p21.B3|EPKHIOME_02799	2	Type_I_MTases,Type_I_REases
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p21.B3|EPKHIOME_03161	p21.B3|EPKHIOME_03164	p21.B3|EPKHIOME_03161,p21.B3|EPKHIOME_03162,p21.B3|EPKHIOME_03163,p21.B3|EPKHIOME_03164	4	JetA_I,JetB_I,JetC_I,JetD_I
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p21.B3|EPKHIOME_03833	p21.B3|EPKHIOME_03833	p21.B3|EPKHIOME_03833	1	Type_IV_REases
