sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_Hachiman_2	Hachiman	Hachiman	p4.E8|FIKOBDDI_00508	p4.E8|FIKOBDDI_00509	p4.E8|FIKOBDDI_00508,p4.E8|FIKOBDDI_00509	2	HamA_1,HamB
UserReplicon_Gabija_1	Gabija	Gabija	p4.E8|FIKOBDDI_00818	p4.E8|FIKOBDDI_00819	p4.E8|FIKOBDDI_00818,p4.E8|FIKOBDDI_00819	2	GajA,GajB
UserReplicon_Hachiman_3	Hachiman	Hachiman	p4.E8|FIKOBDDI_00821	p4.E8|FIKOBDDI_00822	p4.E8|FIKOBDDI_00821,p4.E8|FIKOBDDI_00822	2	HamB,HamA_2
UserReplicon_Retron_III_7	Retron	Retron_III	p4.E8|FIKOBDDI_00824	p4.E8|FIKOBDDI_00825	p4.E8|FIKOBDDI_00824,p4.E8|FIKOBDDI_00825	2	PRTase_WH,RT_Tot
UserReplicon_Septu_9	Septu	Septu	p4.E8|FIKOBDDI_02012	p4.E8|FIKOBDDI_02013	p4.E8|FIKOBDDI_02012,p4.E8|FIKOBDDI_02013	2	PtuB,PtuA
UserReplicon_RM_Type_IV_5	RM	RM_Type_IV	p4.E8|FIKOBDDI_02023	p4.E8|FIKOBDDI_02023	p4.E8|FIKOBDDI_02023	1	Type_IV_REases
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p4.E8|FIKOBDDI_02785	p4.E8|FIKOBDDI_02788	p4.E8|FIKOBDDI_02785,p4.E8|FIKOBDDI_02786,p4.E8|FIKOBDDI_02787,p4.E8|FIKOBDDI_02788	4	JetA_I,JetB_I,JetC_I,JetD_I
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p4.E8|FIKOBDDI_02934	p4.E8|FIKOBDDI_02937	p4.E8|FIKOBDDI_02934,p4.E8|FIKOBDDI_02937	2	Type_I_MTases,Type_I_REases
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p4.E8|FIKOBDDI_03244	p4.E8|FIKOBDDI_03244	p4.E8|FIKOBDDI_03244	1	Type_IV_REases
UserReplicon_Rst_ATPase_8	Rst_ATPase	Rst_ATPase	p4.E8|FIKOBDDI_04699	p4.E8|FIKOBDDI_04699	p4.E8|FIKOBDDI_04699	1	ATPase
