sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_Gabija_1	Gabija	Gabija	p22.C7|OMPMJOOP_00232	p22.C7|OMPMJOOP_00233	p22.C7|OMPMJOOP_00232,p22.C7|OMPMJOOP_00233	2	GajA,GajB
UserReplicon_Hachiman_2	Hachiman	Hachiman	p22.C7|OMPMJOOP_00235	p22.C7|OMPMJOOP_00236	p22.C7|OMPMJOOP_00235,p22.C7|OMPMJOOP_00236	2	HamB,HamA_2
UserReplicon_Retron_III_7	Retron	Retron_III	p22.C7|OMPMJOOP_00238	p22.C7|OMPMJOOP_00239	p22.C7|OMPMJOOP_00238,p22.C7|OMPMJOOP_00239	2	PRTase_WH,RT_Tot
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p22.C7|OMPMJOOP_00520	p22.C7|OMPMJOOP_00523	p22.C7|OMPMJOOP_00520,p22.C7|OMPMJOOP_00521,p22.C7|OMPMJOOP_00522,p22.C7|OMPMJOOP_00523	4	JetD_I,JetC_I,JetB_I,JetA_I
UserReplicon_Hachiman_3	Hachiman	Hachiman	p22.C7|OMPMJOOP_01160	p22.C7|OMPMJOOP_01161	p22.C7|OMPMJOOP_01160,p22.C7|OMPMJOOP_01161	2	HamB,HamA_1
UserReplicon_Rst_ATPase_8	Rst_ATPase	Rst_ATPase	p22.C7|OMPMJOOP_01671	p22.C7|OMPMJOOP_01671	p22.C7|OMPMJOOP_01671	1	ATPase
UserReplicon_Septu_9	Septu	Septu	p22.C7|OMPMJOOP_02604	p22.C7|OMPMJOOP_02605	p22.C7|OMPMJOOP_02604,p22.C7|OMPMJOOP_02605	2	PtuB,PtuA
UserReplicon_RM_Type_IV_5	RM	RM_Type_IV	p22.C7|OMPMJOOP_02615	p22.C7|OMPMJOOP_02615	p22.C7|OMPMJOOP_02615	1	Type_IV_REases
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p22.C7|OMPMJOOP_02982	p22.C7|OMPMJOOP_02985	p22.C7|OMPMJOOP_02982,p22.C7|OMPMJOOP_02985	2	Type_I_MTases,Type_I_REases
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p22.C7|OMPMJOOP_04793	p22.C7|OMPMJOOP_04793	p22.C7|OMPMJOOP_04793	1	Type_IV_REases
