sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_RM_Type_II_5	RM	RM_Type_II	p5.G12|OPPCDFHL_00400	p5.G12|OPPCDFHL_00401	p5.G12|OPPCDFHL_00400,p5.G12|OPPCDFHL_00401	2	Type_II_REases,Type_II_MTases
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p5.G12|OPPCDFHL_00714	p5.G12|OPPCDFHL_00717	p5.G12|OPPCDFHL_00714,p5.G12|OPPCDFHL_00715,p5.G12|OPPCDFHL_00716,p5.G12|OPPCDFHL_00717	4	JetD_I,JetC_I,JetB_I,JetA_I
UserReplicon_Abi2_1	Abi2	Abi2	p5.G12|OPPCDFHL_01230	p5.G12|OPPCDFHL_01230	p5.G12|OPPCDFHL_01230	1	Abi_2
UserReplicon_Rst_Sirtuin-like_8	Rst_Sirtuin-like	Rst_Sirtuin-like	p5.G12|OPPCDFHL_01802	p5.G12|OPPCDFHL_01802	p5.G12|OPPCDFHL_01802	1	Sirtuin_like
UserReplicon_Gao_Iet_3	Gao_Iet	Gao_Iet	p5.G12|OPPCDFHL_01811	p5.G12|OPPCDFHL_01812	p5.G12|OPPCDFHL_01811,p5.G12|OPPCDFHL_01812	2	IetS,IetA
UserReplicon_RM_Type_II_6	RM	RM_Type_II	p5.G12|OPPCDFHL_03284	p5.G12|OPPCDFHL_03285	p5.G12|OPPCDFHL_03284,p5.G12|OPPCDFHL_03285	2	Type_II_MTases,Type_II_REases
UserReplicon_Septu_9	Septu	Septu	p5.G12|OPPCDFHL_03404	p5.G12|OPPCDFHL_03405	p5.G12|OPPCDFHL_03404,p5.G12|OPPCDFHL_03405	2	PtuA,PtuB
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p5.G12|OPPCDFHL_03809	p5.G12|OPPCDFHL_03810	p5.G12|OPPCDFHL_03809,p5.G12|OPPCDFHL_03810	2	Type_I_REases,Type_I_MTases
UserReplicon_Rst_HEPN_7	Rst_HEPN	Rst_HEPN	p5.G12|OPPCDFHL_04603	p5.G12|OPPCDFHL_04603	p5.G12|OPPCDFHL_04603	1	Rst_HEPN
UserReplicon_Gabija_2	Gabija	Gabija	p5.G12|OPPCDFHL_04623	p5.G12|OPPCDFHL_04624	p5.G12|OPPCDFHL_04623,p5.G12|OPPCDFHL_04624	2	GajA,GajB
