genome_ID total_n total_seq_bp avg_seq_bp median_seq_bp N50_bp min_seq_bp max_seq_bp
plate11.A10.pilon.contigs_renamed.fasta 128 5960902 46569.55 346.5 496840 128 1004418
plate11.A11.pilon.contigs_renamed.fasta 96 5991048 62406.75 385.5 452429 128 858888
plate11.A12.pilon.contigs_renamed.fasta 108 5973755 55312.55 400 253980 128 610196
plate11.A1.pilon.contigs_renamed.fasta 135 6264925 46406.85 357 231246 128 492780
plate11.A2.pilon.contigs_renamed.fasta 86 5990871 69661.29 318 337306 128 656111
plate11.A3.pilon.contigs_renamed.fasta 92 5918158 64327.8 343 455141 128 1197997
plate11.A4.pilon.contigs_renamed.fasta 289 6142741 21255.16 349 264803 128 478950
plate11.A5.pilon.contigs_renamed.fasta 55 5951438 108207.96 328 730710 128 2390705
plate11.A6.pilon.contigs_renamed.fasta 278 5836766 20995.56 344 516482 128 809274
plate11.A7.pilon.contigs_renamed.fasta 55 6063373 110243.15 631 420634 128 838132
plate11.A8.pilon.contigs_renamed.fasta 79 6095869 77162.9 331 708803 128 1028312
plate11.A9.pilon.contigs_renamed.fasta 82 6030176 73538.73 19196 194841 128 415007
plate11.B10.pilon.contigs_renamed.fasta 55 5972211 108585.65 513 437564 128 942571
plate11.B11.pilon.contigs_renamed.fasta 89 5999784 67413.3 380 497886 128 685202
plate11.B12.pilon.contigs_renamed.fasta 77 5967264 77496.94 380 489343 128 832506
plate11.B1.pilon.contigs_renamed.fasta 68 5955809 87585.43 319.5 730710 128 2685345
plate11.B2.pilon.contigs_renamed.fasta 42 5947461 141606.21 372.5 730710 128 2685445
plate11.B4.pilon.contigs_renamed.fasta 136 6015884 44234.44 367.5 328483 128 599924
plate11.B5.pilon.contigs_renamed.fasta 166 6027613 36310.92 372 241033 128 450296
plate11.B6.pilon.contigs_renamed.fasta 174 5960949 34258.33 13757.5 78458 128 422920
plate11.B7.pilon.contigs_renamed.fasta 200 6329469 31647.35 390.5 179780 278 762419
plate11.B8.pilon.contigs_renamed.fasta 71 6117275 86158.8 1000 337578 128 786884
plate11.B9.pilon.contigs_renamed.fasta 62 5900655 95171.85 12569.5 257906 128 567696
plate11.C10.pilon.contigs_renamed.fasta 59 5906758 100114.54 341 686604 128 1502333
plate11.C11.pilon.contigs_renamed.fasta 79 5997545 75918.29 357 497862 128 875460
plate11.C12.pilon.contigs_renamed.fasta 70 5963962 85199.46 364.5 480040 128 722322
plate11.C1.pilon.contigs_renamed.fasta 76 5956804 78379 313.5 639929 128 2235221
plate11.C2.pilon.contigs_renamed.fasta 48 5949163 123940.9 367 730422 128 2424155
plate11.C3.pilon.contigs_renamed.fasta 150 5926856 39512.37 14901.5 124131 128 460336
plate11.C4.pilon.contigs_renamed.fasta 52 5950752 114437.54 51993.5 256697 128 694297
plate11.C5.pilon.contigs_renamed.fasta 203 6037108 29739.45 352 241192 128 543375
plate11.C6.pilon.contigs_renamed.fasta 195 4853911 24891.85 333 537018 128 774657
plate11.C7.pilon.contigs_renamed.fasta 202 6345754 31414.62 362 290973 128 617647
plate11.C8.pilon.contigs_renamed.fasta 40 5922254 148056.35 2618 694707 128 1071220
plate11.C9.pilon.contigs_renamed.fasta 76 5968037 78526.8 18893.5 212131 128 380498
plate11.D1.pilon.contigs_renamed.fasta 43 5972422 138893.53 3342 693715 128 1252958
plate11.D2.pilon.contigs_renamed.fasta 45 5968169 132625.98 1971 491302 128 748379
plate11.D3.pilon.contigs_renamed.fasta 259 6616892 25547.85 361 252345 128 893377
plate11.D4.pilon.contigs_renamed.fasta 255 6060443 23766.44 9867 60027 157 509970
plate11.D6.pilon.contigs_renamed.fasta 354 5964449 16848.73 5229.5 49517 128 387249
plate11.D8.pilon.contigs_renamed.fasta 64 5983930 93498.91 42255.5 231211 128 764110
plate11.D9.pilon.contigs_renamed.fasta 61 5980273 98037.26 68458 227849 128 518708
plate11.E10.pilon.contigs_renamed.fasta 33 6080472 184256.73 383 890405 128 1437268
plate11.E11.pilon.contigs_renamed.fasta 233 5911310 25370.43 340 694153 128 1655321
plate11.E1.pilon.contigs_renamed.fasta 37 5925889 160159.16 339 763631 128 1103428
plate11.E2.pilon.contigs_renamed.fasta 50 5966705 119334.1 38605 310875 128 748379
plate11.E3.pilon.contigs_renamed.fasta 433 6263583 14465.55 426 56079 128 212362
plate11.E4.pilon.contigs_renamed.fasta 347 6187072 17830.18 7767 47417 128 157435
plate11.E6.pilon.contigs_renamed.fasta 128 5977346 46698.02 14455 148741 128 445289
plate11.E7.pilon.contigs_renamed.fasta 70 5982325 85461.79 46338.5 189525 128 411658
plate11.E8.pilon.contigs_renamed.fasta 48 5986152 124711.5 14284 442805 128 768742
plate11.E9.pilon.contigs_renamed.fasta 67 6074150 90658.96 40673 196739 128 584227
plate11.F10.pilon.contigs_renamed.fasta 66 5982326 90641.3 341 655410 128 1386342
plate11.F11.pilon.contigs_renamed.fasta 521 5943351 11407.58 367 72925 128 214398
plate11.F1.pilon.contigs_renamed.fasta 468 5573944 11910.14 341 306087 128 760847
plate11.F2.pilon.contigs_renamed.fasta 112 6011652 53675.46 489.5 282260 128 642221
plate11.F3.pilon.contigs_renamed.fasta 83 5988828 72154.55 356 1054480 128 1253502
plate11.F6.pilon.contigs_renamed.fasta 106 5964528 56269.13 27921 114437 128 538825
plate11.F7.pilon.contigs_renamed.fasta 266 6099736 22931.34 5843.5 72120 128 309302
plate11.F8.pilon.contigs_renamed.fasta 72 5981513 83076.57 472.5 462019 128 777117
plate11.F9.pilon.contigs_renamed.fasta 228 6770419 29694.82 334.5 377920 128 668715
plate11.G10.pilon.contigs_renamed.fasta 222 6105635 27502.86 324 689576 128 985577
plate11.G11.pilon.contigs_renamed.fasta 229 6124775 26745.74 330 879695 128 1277776
plate11.G1.pilon.contigs_renamed.fasta 938 6243833 6656.54 343 362915 128 759054
plate11.G2.pilon.contigs_renamed.fasta 2047 5335733 2606.61 349 455334 128 732656
plate11.G3.pilon.contigs_renamed.fasta 1641 6866515 4184.35 352 397079 128 649416
plate11.G4.pilon.contigs_renamed.fasta 79 6100297 77218.95 320 787906 128 2038899
plate11.G5.pilon.contigs_renamed.fasta 291 5969629 20514.19 344 362915 128 758946
plate11.G7.pilon.contigs_renamed.fasta 100 6079991 60799.91 356.5 338842 128 778206
plate11.G8.pilon.contigs_renamed.fasta 180 5979508 33219.49 341 463625 128 706111
plate11.G9.pilon.contigs_renamed.fasta 258 6041447 23416.46 3657 77538 128 335668
plate11.H10.pilon.contigs_renamed.fasta 112 6069362 54190.73 332 689576 128 1262908
plate11.H11.pilon.contigs_renamed.fasta 625 6699729 10719.57 340 218547 128 761229
plate11.H12.pilon.contigs_renamed.fasta 139 6117041 44007.49 340 391269 128 1327703
plate11.H1.pilon.contigs_renamed.fasta 449 6052783 13480.59 341 286264 128 759054
plate11.H3.pilon.contigs_renamed.fasta 1303 4996780 3834.83 342 666335 128 1256889
plate11.H4.pilon.contigs_renamed.fasta 54 6066716 112346.59 463.5 417066 128 854305
plate11.H5.pilon.contigs_renamed.fasta 174 5919177 34018.26 370 265622 128 751821
plate11.H6.pilon.contigs_renamed.fasta 74 6111732 82590.97 3836 208261 128 800101
plate11.H7.pilon.contigs_renamed.fasta 67 6070304 90601.55 390 404130 128 866692
plate11.H8.pilon.contigs_renamed.fasta 110 5955886 54144.42 360 379618 128 610688
plate11.H9.pilon.contigs_renamed.fasta 91 6032648 66292.84 373 514186 128 776331
plate12.A10.pilon.contigs_renamed.fasta 81 5986817 73911.32 1183 382602 128 875581
plate12.A11.pilon.contigs_renamed.fasta 65 6141010 94477.08 341 476361 128 930750
plate12.A1.pilon.contigs_renamed.fasta 129 6024869 46704.41 15324 146832 128 466993
plate12.A2.pilon.contigs_renamed.fasta 59 6027874 102167.36 411 548429 128 811801
plate12.A5.pilon.contigs_renamed.fasta 70 5840650 83437.86 25361 249400 128 606961
plate12.A6.pilon.contigs_renamed.fasta 49 5943908 121304.24 55564 320807 128 1378058
plate12.A7.pilon.contigs_renamed.fasta 52 6001909 115421.33 1212.5 673048 128 931900
plate12.A8.pilon.contigs_renamed.fasta 87 5995733 68916.47 37857 136408 128 536608
plate12.A9.pilon.contigs_renamed.fasta 429 5924474 13809.96 369 110655 128 750823
plate12.B10.pilon.contigs_renamed.fasta 87 5990964 68861.66 408 447110 128 903595
plate12.B11.pilon.contigs_renamed.fasta 76 6143518 80835.76 372.5 538042 128 820880
plate12.B1.pilon.contigs_renamed.fasta 102 6024362 59062.37 11221 166260 128 811804
plate12.B2.pilon.contigs_renamed.fasta 82 6035236 73600.44 401.5 527446 128 812014
plate12.B3.pilon.contigs_renamed.fasta 101 5956510 58975.35 390 369550 128 1321687
