sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_RM_Type_IV_5	RM	RM_Type_IV	p22.F4|NCEFIILD_00630	p22.F4|NCEFIILD_00630	p22.F4|NCEFIILD_00630	1	Type_IV_REases
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p22.F4|NCEFIILD_01312	p22.F4|NCEFIILD_01315	p22.F4|NCEFIILD_01312,p22.F4|NCEFIILD_01315	2	Type_I_MTases,Type_I_REases
UserReplicon_Rst_ATPase_8	Rst_ATPase	Rst_ATPase	p22.F4|NCEFIILD_02388	p22.F4|NCEFIILD_02388	p22.F4|NCEFIILD_02388	1	ATPase
UserReplicon_Septu_9	Septu	Septu	p22.F4|NCEFIILD_04019	p22.F4|NCEFIILD_04020	p22.F4|NCEFIILD_04019,p22.F4|NCEFIILD_04020	2	PtuB,PtuA
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p22.F4|NCEFIILD_04030	p22.F4|NCEFIILD_04030	p22.F4|NCEFIILD_04030	1	Type_IV_REases
UserReplicon_Hachiman_2	Hachiman	Hachiman	p22.F4|NCEFIILD_04381	p22.F4|NCEFIILD_04382	p22.F4|NCEFIILD_04381,p22.F4|NCEFIILD_04382	2	HamA_1,HamB
UserReplicon_Gabija_1	Gabija	Gabija	p22.F4|NCEFIILD_04641	p22.F4|NCEFIILD_04642	p22.F4|NCEFIILD_04641,p22.F4|NCEFIILD_04642	2	GajA,GajB
UserReplicon_Hachiman_3	Hachiman	Hachiman	p22.F4|NCEFIILD_04644	p22.F4|NCEFIILD_04645	p22.F4|NCEFIILD_04644,p22.F4|NCEFIILD_04645	2	HamB,HamA_2
UserReplicon_Retron_III_7	Retron	Retron_III	p22.F4|NCEFIILD_04647	p22.F4|NCEFIILD_04648	p22.F4|NCEFIILD_04647,p22.F4|NCEFIILD_04648	2	PRTase_WH,RT_Tot
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p22.F4|NCEFIILD_04929	p22.F4|NCEFIILD_04932	p22.F4|NCEFIILD_04929,p22.F4|NCEFIILD_04930,p22.F4|NCEFIILD_04931,p22.F4|NCEFIILD_04932	4	JetD_I,JetC_I,JetB_I,JetA_I
