sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_RM_Type_II_5	RM	RM_Type_II	p11.A1|INFLKEGM_00620	p11.A1|INFLKEGM_00621	p11.A1|INFLKEGM_00620,p11.A1|INFLKEGM_00621	2	Type_II_MTases,Type_II_REases
UserReplicon_Rst_HEPN_7	Rst_HEPN	Rst_HEPN	p11.A1|INFLKEGM_00631	p11.A1|INFLKEGM_00631	p11.A1|INFLKEGM_00631	1	Rst_HEPN
UserReplicon_Gabija_2	Gabija	Gabija	p11.A1|INFLKEGM_00651	p11.A1|INFLKEGM_00652	p11.A1|INFLKEGM_00651,p11.A1|INFLKEGM_00652	2	GajA,GajB
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p11.A1|INFLKEGM_00971	p11.A1|INFLKEGM_00972	p11.A1|INFLKEGM_00971,p11.A1|INFLKEGM_00972	2	Type_I_REases,Type_I_MTases
UserReplicon_RM_Type_II_6	RM	RM_Type_II	p11.A1|INFLKEGM_01062	p11.A1|INFLKEGM_01063	p11.A1|INFLKEGM_01062,p11.A1|INFLKEGM_01063	2	Type_II_MTases,Type_II_REases
UserReplicon_Rst_Sirtuin-like_8	Rst_Sirtuin-like	Rst_Sirtuin-like	p11.A1|INFLKEGM_01538	p11.A1|INFLKEGM_01538	p11.A1|INFLKEGM_01538	1	Sirtuin_like
UserReplicon_Gao_Iet_3	Gao_Iet	Gao_Iet	p11.A1|INFLKEGM_01547	p11.A1|INFLKEGM_01548	p11.A1|INFLKEGM_01547,p11.A1|INFLKEGM_01548	2	IetS,IetA
UserReplicon_Septu_9	Septu	Septu	p11.A1|INFLKEGM_01969	p11.A1|INFLKEGM_01970	p11.A1|INFLKEGM_01969,p11.A1|INFLKEGM_01970	2	PtuA,PtuB
UserReplicon_Abi2_1	Abi2	Abi2	p11.A1|INFLKEGM_03200	p11.A1|INFLKEGM_03200	p11.A1|INFLKEGM_03200	1	Abi_2
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p11.A1|INFLKEGM_05446	p11.A1|INFLKEGM_05449	p11.A1|INFLKEGM_05446,p11.A1|INFLKEGM_05447,p11.A1|INFLKEGM_05448,p11.A1|INFLKEGM_05449	4	JetD_I,JetC_I,JetB_I,JetA_I
