sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_RM_Type_IV_5	RM	RM_Type_IV	p13.D1|JLKNLDOA_00629	p13.D1|JLKNLDOA_00629	p13.D1|JLKNLDOA_00629	1	Type_IV_REases
UserReplicon_Septu_9	Septu	Septu	p13.D1|JLKNLDOA_01122	p13.D1|JLKNLDOA_01123	p13.D1|JLKNLDOA_01122,p13.D1|JLKNLDOA_01123	2	PtuB,PtuA
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p13.D1|JLKNLDOA_01133	p13.D1|JLKNLDOA_01133	p13.D1|JLKNLDOA_01133	1	Type_IV_REases
UserReplicon_Hachiman_2	Hachiman	Hachiman	p13.D1|JLKNLDOA_02000	p13.D1|JLKNLDOA_02001	p13.D1|JLKNLDOA_02000,p13.D1|JLKNLDOA_02001	2	HamB,HamA_1
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p13.D1|JLKNLDOA_04109	p13.D1|JLKNLDOA_04112	p13.D1|JLKNLDOA_04109,p13.D1|JLKNLDOA_04110,p13.D1|JLKNLDOA_04111,p13.D1|JLKNLDOA_04112	4	JetA_I,JetB_I,JetC_I,JetD_I
UserReplicon_Retron_III_7	Retron	Retron_III	p13.D1|JLKNLDOA_04393	p13.D1|JLKNLDOA_04394	p13.D1|JLKNLDOA_04393,p13.D1|JLKNLDOA_04394	2	RT_Tot,PRTase_WH
UserReplicon_Hachiman_3	Hachiman	Hachiman	p13.D1|JLKNLDOA_04396	p13.D1|JLKNLDOA_04397	p13.D1|JLKNLDOA_04396,p13.D1|JLKNLDOA_04397	2	HamA_2,HamB
UserReplicon_Gabija_1	Gabija	Gabija	p13.D1|JLKNLDOA_04399	p13.D1|JLKNLDOA_04400	p13.D1|JLKNLDOA_04399,p13.D1|JLKNLDOA_04400	2	GajB,GajA
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p13.D1|JLKNLDOA_04720	p13.D1|JLKNLDOA_04723	p13.D1|JLKNLDOA_04720,p13.D1|JLKNLDOA_04723	2	Type_I_MTases,Type_I_REases
UserReplicon_Rst_ATPase_8	Rst_ATPase	Rst_ATPase	p13.D1|JLKNLDOA_05074	p13.D1|JLKNLDOA_05074	p13.D1|JLKNLDOA_05074	1	ATPase
